rank,layer,neuron,score
1,13,7864,0.4591173754414911
2,10,2899,0.40602698716374797
3,11,6095,0.39824018542465517
4,9,129,0.3774748744300917
5,9,2630,0.37737959059683174
6,12,5121,0.37581171032038385
7,13,3794,0.3718221508106835
8,7,7540,0.36987595223710773
9,12,8769,0.3690514193485206
10,11,5690,0.36613179107973626
11,11,6230,0.3654261005503536
12,12,1672,0.3629298261368226
13,7,1987,0.35300978996715027
14,9,511,0.3477563597153873
15,12,699,0.3410236385569749
16,12,8182,0.3350290930796658
17,8,8956,0.3322648346494169
18,9,4956,0.32685927693683403
19,10,2183,0.32348588609030765
20,13,2630,0.32254761662379466
21,6,4866,0.32166129181271175
22,11,6407,0.31991132745637924
23,9,5107,0.3183448116184478
24,8,2180,0.3146692103404078
25,12,8373,0.31242555706531344
26,13,138,0.31142602387171725
27,10,2909,0.3111632092825916
28,7,2289,0.310802833774133
29,7,335,0.31046223450779514
30,11,2752,0.30722994829306666
31,8,8165,0.3063279751739607
32,11,4078,0.30556185106725287
33,14,3744,0.30519022978199284
34,11,8919,0.3046103051344002
35,15,1033,0.3036024497880759
36,12,7189,0.30356783236974705
37,9,7727,0.30257187415267767
38,12,2770,0.30176362669666085
39,8,3432,0.3010968195576851
40,10,3658,0.3003207229487192
41,7,2397,0.29937380468151403
42,14,502,0.2993376209796293
43,11,7146,0.2981012672838512
44,13,7857,0.29807211545338547
45,13,5186,0.29762147687448415
46,9,2479,0.29674298949595607
47,7,6602,0.29669738398780093
48,14,2846,0.29611746766392066
49,17,3092,0.29557304067314494
50,11,3764,0.29546656809685123
51,15,6620,0.29248640963119665
52,11,4697,0.2923950755002878
53,11,3206,0.29161279425245207
54,14,2011,0.29023588314191623
55,13,1945,0.2899186805117844
56,13,8047,0.28968851046462013
57,14,7959,0.28967197654473575
58,13,432,0.289006021182723
59,17,1888,0.28830320761068745
60,10,4395,0.2881972016012939
61,8,3066,0.28794348429565936
62,12,8254,0.28745815820223214
63,12,8095,0.28706404856172935
64,11,3985,0.2866146532039486
65,13,4950,0.2843861157686774
66,12,5220,0.28416786994974114
67,11,5171,0.2838377357282919
68,7,5088,0.28352663458861843
69,12,7365,0.2816757317191628
70,11,3583,0.2805242478314053
71,18,7960,0.2801760573721568
72,14,485,0.28016994432194486
73,13,7257,0.28014166177141475
74,12,6448,0.279742713302163
75,11,6416,0.27921296562324377
76,13,657,0.2791598563831578
77,10,6202,0.2784172831208623
78,12,4206,0.2776954333248247
79,11,8896,0.2776706931343193
80,6,7250,0.2771621387788961
81,12,3837,0.2767931626728757
82,7,2098,0.2767367985056489
83,6,3029,0.27609824552717516
84,6,4409,0.2759667063714114
85,9,8909,0.2754742662912687
86,12,3412,0.27484926862036524
87,7,4226,0.27480028406981244
88,6,8497,0.2743577496526233
89,7,8627,0.2738078982371644
90,7,4782,0.2737121295887175
91,14,3796,0.2736164696558508
92,8,488,0.27223943079174023
93,12,7831,0.27205495362505266
94,11,2381,0.2717660897017898
95,8,4877,0.2716317319454612
96,7,6812,0.27154799914945266
97,5,4904,0.2711712134194979
98,13,5916,0.2710138714746971
99,12,4001,0.270988671819345
100,9,6007,0.2704078486634116
101,17,3880,0.27005851417589005
102,12,9193,0.2689543569918767
103,7,6394,0.26872946876139203
104,14,7405,0.26852976311491555
105,11,748,0.26821762834043883
106,13,2614,0.2680197702044012
107,9,2411,0.2676402509399131
108,13,997,0.26705680295225404
109,9,9182,0.26690814761366954
110,12,4045,0.26659475327408716
111,13,5974,0.26658020528012766
112,13,9163,0.2665454887893971
113,14,1165,0.266522214477871
114,12,1105,0.26645221853464324
115,11,2602,0.2650749949701856
116,9,4678,0.26451566550791356
117,9,5311,0.2641067396890697
118,7,942,0.26354784942097387
119,14,6238,0.2632222806571911
120,10,3736,0.2630914962510778
121,8,3192,0.2621477846227787
122,6,725,0.2621015078078652
123,13,6884,0.2617528434774898
124,8,3383,0.26174209454747144
125,10,5867,0.26172178053949363
126,10,4373,0.26171426605541237
127,13,2552,0.2610269372342836
128,13,3759,0.2603587590454217
129,8,4523,0.2600779217713829
130,12,2932,0.25994433952990476
131,12,6977,0.2599282689038037
132,21,5674,0.2597527468865496
133,8,6720,0.2593625231230339
134,13,67,0.25908504052666903
135,19,3138,0.25889730112377257
136,12,7075,0.2587308597359027
137,12,6973,0.2586919243486934
138,12,2365,0.2585407149653862
139,5,7861,0.2582814391415014
140,8,6621,0.25812914108878376
141,14,4742,0.2579714367356206
142,6,6839,0.2578542651338178
143,19,6644,0.2570155866353565
144,7,5173,0.2567031028408221
145,7,2494,0.2564845665400723
146,7,5503,0.25646407795727494
147,11,1843,0.25628564976286566
148,13,3365,0.2562517102767957
149,11,4824,0.2562076039181606
150,14,5022,0.2556990617826858
151,10,6714,0.2554116810705163
152,14,8826,0.2552837879161153
153,12,5631,0.25515317833679063
154,7,7260,0.25467366598576313
155,14,7682,0.25418704236024603
156,9,2112,0.2539720133978894
157,8,1331,0.25396885875309655
158,9,1745,0.25395379175944827
159,11,8390,0.25392505511422825
160,7,6650,0.253772441876959
161,11,237,0.25360942525720653
162,16,4163,0.2535623948303871
163,14,6644,0.2523581353994449
164,14,3585,0.25224232146188097
165,7,4921,0.2521898911859618
166,15,3076,0.252037004221633
167,13,1062,0.2519927380621248
168,11,105,0.25197070254471604
169,10,1986,0.2518643321148741
170,13,963,0.2515884372102927
171,25,2210,0.25153126834125955
172,6,8033,0.2514985540513536
173,14,7513,0.2513115245995069
174,19,5287,0.2512943956655348
175,2,3204,0.2509772389114762
176,14,1420,0.2507333015304669
177,15,7392,0.25028291739731784
178,7,7789,0.2501661567181643
179,5,4136,0.25009691082074476
180,5,4467,0.25009486568684425
181,19,5406,0.2500842274073955
182,13,3400,0.24993209381797474
183,11,7026,0.24982868479952874
184,15,8614,0.2497948752454321
185,13,6362,0.24971983037095005
186,12,8268,0.24953537100981688
187,15,1626,0.2494678605684444
188,6,6377,0.2494387533693851
189,18,410,0.2491988422354972
190,11,1700,0.2491259936043512
191,6,862,0.2490712108983097
192,7,8942,0.24885426049671802
193,12,1357,0.24877003092452624
194,5,4077,0.24842709414755448
195,12,969,0.2483697633371799
196,5,1864,0.24800197643415786
197,10,3135,0.2479977866662657
198,9,3843,0.24792784773859486
199,14,3674,0.24785269596361872
200,24,7361,0.2477428370593828
201,13,3091,0.2476895918090852
202,8,7059,0.2476491592477627
203,11,3704,0.24708269559368048
204,10,7403,0.24651540462139004
205,10,4661,0.2461266218595648
206,11,3082,0.24603698229483295
207,8,6767,0.2457801308108113
208,9,6741,0.2457406463628413
209,12,6423,0.24545654922244556
210,2,8478,0.2453820796230671
211,12,1574,0.24488196830886
212,22,6547,0.24480401213101216
213,6,2436,0.24476174206335338
214,6,982,0.2445600958326201
215,14,2917,0.24448731233896392
216,7,4341,0.24407450972709402
217,7,5488,0.2439392084126972
218,0,7791,0.24387361335770155
219,20,4757,0.24355082866740174
220,6,362,0.24344428569209356
221,9,5642,0.24341886399504603
222,16,2796,0.24333622317866385
223,24,8115,0.2432446985769935
224,11,3471,0.24321839060781994
225,13,7841,0.24311977682562896
226,11,1617,0.24297686521592124
227,8,5652,0.24286374208000153
228,10,8507,0.24267831914088353
229,13,2154,0.24248247439197415
230,20,7271,0.24225639981281336
231,15,5922,0.24215796365692793
232,1,3794,0.24214741600276407
233,6,1478,0.2415634010801692
234,14,3268,0.24129203703623744
235,15,2285,0.24126717143470558
236,11,1061,0.24125062841752662
237,14,5651,0.2409862157234239
238,14,5702,0.24094756100634465
239,8,8676,0.24091334287122218
240,9,4407,0.2405315499214836
241,22,6066,0.24052234423653754
242,8,6686,0.24009229909236884
243,8,818,0.24008890890643642
244,10,895,0.24004833954834415
245,2,7236,0.2400195315197517
246,20,8974,0.24001106956405321
247,12,7819,0.23998779121090308
248,11,3152,0.2399860487694649
249,10,809,0.2397769056576044
250,9,4477,0.23958089934291854
251,15,2945,0.2393084449811332
252,10,2789,0.23930611528429374
253,18,7475,0.23929914798415766
254,11,6909,0.23927589106552263
255,13,4828,0.2391285908291884
256,10,7863,0.2390988103682114
257,18,4384,0.2390093495153766
258,12,8124,0.23884043917344555
259,12,5106,0.23883250729876299
260,7,6259,0.2386528431856627
261,18,6280,0.23851697323828566
262,14,7314,0.23851407456774876
263,7,1644,0.23794386013491256
264,7,5971,0.23763460564273572
265,10,2165,0.2372919084933737
266,8,7897,0.23728541130319192
267,9,1929,0.2372630941471899
268,13,8014,0.23724876077486584
269,14,2858,0.2371564583006479
270,7,4776,0.23715367844021285
271,6,297,0.23700530837659678
272,16,268,0.23700165093420694
273,13,8886,0.23692608925675948
274,7,2835,0.23689887519065228
275,14,7325,0.2367766059799773
276,13,3872,0.23660830332351587
277,25,2405,0.23657392070264197
278,14,2055,0.236508680952341
279,13,8350,0.23635069403631687
280,10,6214,0.23626161461349282
281,9,2067,0.2360700179864681
282,15,3901,0.23601155064275034
283,11,6858,0.23576369078555873
284,11,6685,0.23573418982345992
285,11,6071,0.23556197424812578
286,7,9059,0.23549924349317797
287,14,6109,0.2353456216015987
288,17,4495,0.23528379150300366
289,9,6238,0.23527312392062208
290,15,3209,0.23524505108721513
291,14,1662,0.23523455472195484
292,21,8986,0.23516497749219947
293,14,7497,0.23515958256184094
294,16,5260,0.23515846833926685
295,16,4438,0.23509703480825933
296,7,4464,0.23493447440404347
297,14,8104,0.23466592483351967
298,8,366,0.23461208437147696
299,12,5664,0.23458883606917508
300,7,6091,0.23429024781939042
301,19,8892,0.23422062752658362
302,7,4266,0.23418909469995075
303,23,1321,0.23413196414826956
304,13,2469,0.23404315926178457
305,9,7591,0.23398952676210555
306,5,6114,0.23393789058641284
307,22,6303,0.2339268316814856
308,6,4397,0.23383609700653937
309,18,6682,0.23376324771006138
310,15,3433,0.23374810688114642
311,20,6175,0.23354943761029884
312,9,6499,0.23333764903434936
313,10,1140,0.23330681388359198
314,11,7524,0.23315056591154978
315,7,6147,0.23299551745468658
316,19,3007,0.23289639112391747
317,11,7730,0.23288611878716609
318,16,5225,0.23268829745381714
319,7,7038,0.23255399652892286
320,22,3962,0.23253135077122253
321,5,1187,0.23243637735587688
322,11,8050,0.232424779440738
323,6,202,0.23241365496577296
324,17,5625,0.23234528556687023
325,7,40,0.23228740569488535
326,15,5089,0.23215333268240174
327,13,4566,0.23213555355631746
328,24,5716,0.2318812397976074
329,9,3881,0.2316844455928762
330,14,6994,0.23152384535018902
331,11,2877,0.23149195693301025
332,14,6938,0.23148760634863402
333,11,4470,0.23138477941044647
334,7,8904,0.23132946508630145
335,9,1686,0.23132500108931223
336,17,6511,0.23127478788873673
337,16,5072,0.23126529927929873
