rank,layer,neuron,score
1,7,7540,1.2121995764581877
2,11,7146,1.20429853098008
3,10,4395,1.1829044797821453
4,7,3629,1.175145520769854
5,9,6499,1.1538827957986069
6,12,5195,1.1244488036809321
7,6,4261,1.1243593299437327
8,6,862,1.1221627622141233
9,7,3136,1.0950377892717547
10,9,8371,1.0789119196143393
11,8,8956,1.0697637677537088
12,6,6284,1.0624913572150216
13,7,5214,1.055392871555886
14,6,6377,1.0549416793247046
15,12,2932,1.052950597998912
16,7,4627,1.0463077002049654
17,7,335,1.0431669705448519
18,7,8904,1.03654854300159
19,6,3029,1.0250997562389161
20,6,4161,1.0061099227387222
21,7,3189,1.003909245885968
22,7,6311,1.002472103738987
23,9,9182,0.9988963614197838
24,7,942,0.9962637609809597
25,7,1310,0.993541489017055
26,8,8165,0.9913011269632032
27,7,2020,0.9908749261477305
28,7,722,0.9900616876296998
29,11,748,0.987225479129357
30,7,1057,0.9812937662418945
31,6,8033,0.9788486252071515
32,7,4648,0.9612731120619313
33,7,4921,0.9579733142360107
34,11,8948,0.9521105274658658
35,6,7183,0.9485593338753672
36,12,4001,0.9421158682267302
37,6,5686,0.9375475111267825
38,12,3412,0.9374695357837369
39,12,3916,0.9359575320706416
40,7,5971,0.9310593355767776
41,12,5121,0.9179721565633339
42,11,4316,0.9175616768008203
43,10,2899,0.9173670697227345
44,7,6378,0.9094157471377704
45,13,6183,0.9060292552996103
46,6,1405,0.8956046623819444
47,7,352,0.8913815564932766
48,7,5488,0.8913445298881806
49,11,3583,0.8909582324556108
50,7,1458,0.8881989982201223
51,9,8819,0.8872857318047144
52,14,8158,0.8871397242499606
53,12,8254,0.8863023721137212
54,6,711,0.8857381780188235
55,8,6427,0.8832947672731699
56,9,511,0.8788764268090155
57,7,8010,0.8783773607541885
58,7,3219,0.8756833928770708
59,9,1004,0.8751730871509237
60,7,1589,0.8719477284839583
61,7,7903,0.8696341444238433
62,7,6602,0.867930548925053
63,5,7861,0.8677871097820216
64,10,4437,0.8659035768750522
65,6,8947,0.8625952498204804
66,7,589,0.8593334753464766
67,7,6953,0.8571655279602483
68,9,4846,0.852370663908088
69,7,3871,0.8497006705964729
70,10,139,0.8494612362584365
71,5,9093,0.8490585060019314
72,8,2402,0.8490486617892861
73,8,2180,0.8443031472965142
74,12,2365,0.8426379406283806
75,8,9130,0.8413125384154406
76,5,8697,0.838980494045138
77,10,2131,0.8384688820513262
78,14,4680,0.8359690420232898
79,11,7940,0.8342260795040084
80,8,2239,0.8339000503712602
81,8,5960,0.8315685136948455
82,13,7028,0.8314309374425324
83,8,3066,0.8258896479787511
84,7,7527,0.824094932550155
85,9,9051,0.8222610213226975
86,12,7831,0.8148874627515185
87,11,5210,0.8131012591540567
88,12,1167,0.8109895469329998
89,7,6723,0.8108485812787873
90,7,4782,0.8072701498002399
91,10,6913,0.8055982620907778
92,7,9059,0.8028317356475743
93,10,5440,0.8020906405666526
94,13,4234,0.8000107815117566
95,11,6858,0.799973572126172
96,12,4332,0.7986129855740062
97,11,8941,0.7977551782110109
98,7,2850,0.7976250178330652
99,13,8850,0.7957702232984332
100,9,3529,0.794877617476707
101,11,2049,0.7940480842413643
102,7,2679,0.7931009604717199
103,11,1928,0.7914660385929636
104,6,3654,0.7905936726524603
105,6,138,0.7895806740394677
106,10,3658,0.789055917529869
107,11,7862,0.788324708484113
108,7,1987,0.7875372250208416
109,5,68,0.7863868399205657
110,11,479,0.7852531401595261
111,7,7118,0.7833703864570694
112,10,399,0.7784419003692213
113,7,5503,0.775155626327308
114,12,6311,0.7745959144900073
115,6,6938,0.7737089761733259
116,6,3318,0.772070118727689
117,5,1707,0.7700414905692382
118,10,1874,0.7698038446428151
119,12,5491,0.7686593250695858
120,8,4178,0.7683478942597303
121,11,4838,0.7665458710728181
122,11,2598,0.7644928055172948
123,10,778,0.7638036248346413
124,11,2898,0.7637972416992607
125,7,7525,0.7628519253553339
126,12,7189,0.7620548719033223
127,7,8438,0.7614930927300982
128,10,1534,0.761101702000315
129,5,2154,0.7608154752225741
130,7,5622,0.760310812842076
131,11,4637,0.7594249787213254
132,8,3664,0.7575524424010324
133,9,5547,0.7556588417804362
134,10,391,0.7534723751593853
135,6,7102,0.7516105180653975
136,12,6893,0.7512222197062011
137,11,2330,0.75063545471363
138,10,9092,0.7504792721554328
139,7,6394,0.7487308506679867
140,13,432,0.7471894941418853
141,11,7855,0.7470249946843316
142,11,6095,0.7411230042909194
143,11,1985,0.7381476379788959
144,7,7791,0.737474373181441
145,12,6835,0.7350928697515274
146,7,8828,0.7348124294357803
147,13,8987,0.7345066612741697
148,11,4697,0.7337715296347455
149,6,4806,0.7330901534618399
150,10,1620,0.7313973094323506
151,6,1413,0.7297838720650449
152,7,5356,0.7293565489770529
153,10,4400,0.7285273973764281
154,9,3389,0.728436575437513
155,7,89,0.7283342998235117
156,6,2613,0.7270326278994999
157,7,1065,0.7236707175875516
158,9,3938,0.7223890452994229
159,6,4409,0.7223265099019217
160,5,7417,0.7222488469459307
161,13,4517,0.7221171405129762
162,8,7313,0.720699054505432
163,13,6364,0.7197179226904253
164,6,1658,0.7171777471289308
165,11,6416,0.7154431074915799
166,10,530,0.7153772603116627
167,6,1725,0.7153302586944276
168,11,3780,0.7151957337632013
169,11,3764,0.7128344126988215
170,11,4024,0.7112117038588176
171,11,7777,0.7076250448847425
172,12,870,0.7047000830084441
173,8,8025,0.7034622801376896
174,13,5916,0.7027338276258728
175,7,1982,0.7018031512674809
