layer,position,acc,f1
0,first,0.3096836049856184,0.002770083102493075
0,mean,0.5867689357622243,0.6756960120391272
0,last,0.5023969319271333,0.5790754257907542
1,first,0.660594439117929,0.7922535211267606
1,mean,0.5915627996164909,0.6728110599078341
1,last,0.5110258868648131,0.6015625
2,first,0.3096836049856184,0.002770083102493075
2,mean,0.6078619367209971,0.6922498118886381
2,last,0.5071907957813998,0.5920634920634921
3,first,0.3096836049856184,0.002770083102493075
3,mean,0.6462128475551294,0.7185354691075515
3,last,0.49760306807286675,0.5746753246753247
4,first,0.3211888782358581,0.043243243243243246
4,mean,0.6816874400767018,0.7477203647416414
4,last,0.5129434324065196,0.5993690851735016
5,first,0.660594439117929,0.7922535211267606
5,mean,0.7344199424736337,0.7979576951130561
5,last,0.4928092042186002,0.5723524656426839
6,first,0.3211888782358581,0.043243243243243246
6,mean,0.7574304889741131,0.8141072740631888
6,last,0.5244487056567594,0.610062893081761
7,first,0.3211888782358581,0.043243243243243246
7,mean,0.7468839884947267,0.8055964653902798
7,last,0.5186960690316395,0.6059654631083202
8,first,0.3096836049856184,0.002770083102493075
8,mean,0.7641418983700863,0.8183161004431314
8,last,0.5302013422818792,0.6189735614307932
9,first,0.3211888782358581,0.043243243243243246
9,mean,0.7535953978907,0.8089219330855019
9,last,0.5186960690316395,0.6003184713375797
10,first,0.3087248322147651,0.0
10,mean,0.7766059443911792,0.8293040293040294
10,last,0.5311601150527325,0.6134387351778656
11,first,0.3211888782358581,0.043243243243243246
11,mean,0.7737296260786194,0.8289855072463768
11,last,0.5349952061361457,0.6172059984214681
12,first,0.660594439117929,0.7922535211267606
12,mean,0.7746883988494727,0.8275862068965517
12,last,0.5186960690316395,0.6065830721003135
13,first,0.3096836049856184,0.002770083102493075
13,mean,0.7813998082454459,0.8345428156748912
13,last,0.5570469798657718,0.6435185185185185
14,first,0.3211888782358581,0.043243243243243246
14,mean,0.7574304889741131,0.8118959107806691
14,last,0.5445829338446788,0.6337702390131071
15,first,0.3211888782358581,0.043243243243243246
15,mean,0.7497603068072867,0.8068097705403405
15,last,0.5273250239693192,0.6121164437450826
16,first,0.3096836049856184,0.002770083102493075
16,mean,0.7219558964525408,0.7819548872180451
16,last,0.5186960690316395,0.6047244094488189
17,first,0.3211888782358581,0.043243243243243246
17,mean,0.7363374880153404,0.7964470762398224
17,last,0.5397890699904123,0.6261682242990654
18,first,0.6720997123681688,0.8013937282229965
18,mean,0.7209971236816874,0.780045351473923
18,last,0.5234899328859061,0.6203208556149733
19,first,0.3096836049856184,0.002770083102493075
19,mean,0.7066155321188878,0.7716417910447761
19,last,0.5196548418024928,0.6119287374128582
20,first,0.3211888782358581,0.043243243243243246
20,mean,0.6999041227229147,0.7665920954511558
20,last,0.5436241610738255,0.6332819722650231
21,first,0.3211888782358581,0.043243243243243246
21,mean,0.6778523489932886,0.7473684210526316
21,last,0.5465004793863855,0.6430188679245283
22,first,0.3202301054650048,0.04059539918809202
22,mean,0.6845637583892618,0.7571955719557195
22,last,0.5244487056567594,0.6190476190476191
23,first,0.3211888782358581,0.043243243243243246
23,mean,0.6788111217641419,0.7471698113207547
23,last,0.5177372962607862,0.6097750193948798
24,first,0.3096836049856184,0.002770083102493075
24,mean,0.6826462128475551,0.7535368577810871
24,last,0.5321188878235859,0.6133122028526149
25,first,0.3096836049856184,0.002770083102493075
25,mean,0.6701821668264621,0.7440476190476191
25,last,0.5177372962607862,0.6042486231313926
