layer,position,acc,f1
0,first,0.6711409395973155,0.8009286128845038
0,mean,0.5790987535953979,0.6686792452830189
0,last,0.5071907957813998,0.5779967159277504
1,first,0.6836049856184084,0.8105625717566016
1,mean,0.5906040268456376,0.6737967914438503
1,last,0.5062320230105465,0.5789043336058871
2,first,0.6836049856184084,0.8105625717566016
2,mean,0.6126558005752637,0.6944024205748865
2,last,0.5206136145733461,0.5915032679738562
3,first,0.6711409395973155,0.8009286128845038
3,mean,0.6452540747842761,0.7179878048780488
3,last,0.4966442953020134,0.5643153526970954
4,first,0.6720997123681688,0.8016241299303944
4,mean,0.6816874400767018,0.7492447129909365
4,last,0.5129434324065196,0.5822368421052632
5,first,0.6826462128475551,0.8098793796668581
5,mean,0.7401725790987536,0.8014652014652015
5,last,0.5110258868648131,0.5785123966942148
6,first,0.6720997123681688,0.8016241299303944
6,mean,0.7564717162032598,0.8137829912023461
6,last,0.5110258868648131,0.5764119601328903
7,first,0.6836049856184084,0.8105625717566016
7,mean,0.7459252157238735,0.8044280442804428
7,last,0.50143815915628,0.5737704918032787
8,first,0.6826462128475551,0.8098793796668581
8,mean,0.7593480345158198,0.814760147601476
8,last,0.5081495685522531,0.585956416464891
9,first,0.6826462128475551,0.8098793796668581
9,mean,0.7574304889741131,0.8132841328413284
9,last,0.5244487056567594,0.5934426229508196
10,first,0.6826462128475551,0.8098793796668581
10,mean,0.7775647171620326,0.8291605301914581
10,last,0.5225311601150527,0.5970873786407767
11,first,0.6836049856184084,0.8105625717566016
11,mean,0.7689357622243528,0.8239590942293645
11,last,0.5273250239693192,0.5968928863450531
12,first,0.6711409395973155,0.8009286128845038
12,mean,0.7775647171620326,0.8304093567251462
12,last,0.4966442953020134,0.5679012345679012
13,first,0.6720997123681688,0.8016241299303944
13,mean,0.7746883988494727,0.8288419519300801
13,last,0.5158197507190796,0.5924132364810331
14,first,0.6836049856184084,0.8105625717566016
14,mean,0.7622243528283796,0.8160237388724035
14,last,0.5033557046979866,0.571900826446281
15,first,0.6836049856184084,0.8105625717566016
15,mean,0.7574304889741131,0.8146520146520146
15,last,0.5177372962607862,0.5811823480432973
16,first,0.6826462128475551,0.8098793796668581
16,mean,0.7277085330776606,0.7874251497005988
16,last,0.5254074784276127,0.5912469033856317
17,first,0.6720997123681688,0.8016241299303944
17,mean,0.7315436241610739,0.7925925925925926
17,last,0.513902205177373,0.5907990314769975
18,first,0.6720997123681688,0.8016241299303944
18,mean,0.7094918504314478,0.772351615326822
18,last,0.5119846596356663,0.5782932891466446
19,first,0.6836049856184084,0.8105625717566016
19,mean,0.7114093959731543,0.7765404602821084
19,last,0.50143815915628,0.5737704918032787
20,first,0.6720997123681688,0.8016241299303944
20,mean,0.6864813039309684,0.7554225878833208
20,last,0.4841802492809204,0.5471380471380471
21,first,0.6720997123681688,0.8016241299303944
21,mean,0.6788111217641419,0.7486871717929482
21,last,0.49856184084372,0.5709598031173093
22,first,0.6826462128475551,0.8098793796668581
22,mean,0.6836049856184084,0.7569955817378498
22,last,0.5062320230105465,0.5823195458231955
23,first,0.6836049856184084,0.8105625717566016
23,mean,0.6816874400767018,0.7488653555219364
23,last,0.4928092042186002,0.5609958506224066
24,first,0.6711409395973155,0.8009286128845038
24,mean,0.6663470757430489,0.7410714285714286
24,last,0.5033557046979866,0.5690515806988353
25,first,0.6720997123681688,0.8016241299303944
25,mean,0.6692233940556088,0.7427293064876958
25,last,0.5119846596356663,0.5871857258718572
