rank,layer,neuron,score
1,5,7861,0.4484550787392778
2,12,2365,0.40538390570859645
3,8,8165,0.39357266462237234
4,13,3794,0.39269860090178954
5,13,997,0.3904937684722476
6,11,6095,0.38937061495596237
7,11,7146,0.37897649640095493
8,10,2899,0.36747669052612636
9,12,7831,0.36259699123877775
10,8,8956,0.36259478345946955
11,11,3583,0.34998491994747805
12,13,5916,0.34568902852755407
13,5,8697,0.3443616853022855
14,24,5977,0.34230023724344133
15,13,8047,0.3366531791714076
16,13,19,0.3336789789700577
17,6,4866,0.32974509995108126
18,14,941,0.32886583630197685
19,6,4261,0.3247836537103441
20,15,5089,0.3239094331776992
21,9,5547,0.3226199630369403
22,9,129,0.3190266673478253
23,6,3029,0.3168380324071387
24,7,5488,0.3167771616220444
25,9,6499,0.31580388690431416
26,11,6416,0.3149298752302756
27,21,3458,0.3142675618720552
28,13,5186,0.3139646833519343
29,6,862,0.3138145843180206
30,7,6602,0.313436686584132
31,10,2183,0.3133094877660062
32,11,4078,0.3127298159835333
33,6,4397,0.3114299131016912
34,11,5690,0.31126972028234645
35,9,8819,0.31123392718143844
36,7,8904,0.3105784236452472
37,6,6377,0.30678056331996406
38,10,139,0.30562716383676986
39,13,2630,0.30484173534641423
40,13,432,0.3029731888000065
41,6,6284,0.300558644517424
42,24,2952,0.2979107611930666
43,7,7540,0.29720423624468245
44,7,6394,0.29713950758464364
45,5,274,0.2968848216200861
46,5,6277,0.29522025798526913
47,7,4782,0.29506243828093554
48,9,8320,0.29467746106755055
49,6,4409,0.29323656729110636
50,7,9059,0.29297167236872995
51,12,8254,0.2929543077071193
52,12,7189,0.2928503888359898
53,12,5195,0.2905741076663292
54,12,4001,0.29009235152964646
55,7,4464,0.28896060466658385
56,24,9183,0.28848902627036394
57,14,5022,0.28756777432920133
58,15,1595,0.28755206005420164
59,11,5171,0.28750887465372893
60,14,7682,0.2867522160867688
61,8,3432,0.2858150916840065
62,21,8673,0.2847292334103687
63,24,7584,0.28442770401000755
64,9,511,0.28440628510815735
65,13,5129,0.2824611549956523
66,17,5550,0.28220087991811854
