layer,position,accuracy,n
0,255,0.39172749391727496,822
1,255,0.39172749391727496,822
2,255,0.39172749391727496,822
3,255,0.39172749391727496,822
4,255,0.39172749391727496,822
5,255,0.39172749391727496,822
6,255,0.39172749391727496,822
7,255,0.39172749391727496,822
8,255,0.39172749391727496,822
9,255,0.39172749391727496,822
10,255,0.39172749391727496,822
11,255,0.39172749391727496,822
12,255,0.39172749391727496,822
13,255,0.39172749391727496,822
14,255,0.39172749391727496,822
15,255,0.39172749391727496,822
16,255,0.39172749391727496,822
17,255,0.39172749391727496,822
18,255,0.39172749391727496,822
19,255,0.39172749391727496,822
20,255,0.39172749391727496,822
21,255,0.39172749391727496,822
22,255,0.39172749391727496,822
23,255,0.39172749391727496,822
24,255,0.39172749391727496,822
25,255,0.39172749391727496,822
