prompt,gt,pred,generated_text
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: The sailors rode the breeze clear of the rocks.
Grammatically correct: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: The weights made the rope stretch over the pulley.
Grammatically correct: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: The mechanical doll wriggled itself loose.
Grammatically correct: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: If you had eaten more, you would want less.
Grammatically correct: ",1,1,<b>yes</b>
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: As you eat the most, you want the least.
Grammatically correct: ",0,0,<b>no</b>
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: The more you would want, the less you would eat.
Grammatically correct: ",0,0,<b>no</b>
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: I demand that the more John eat, the more he pays.
Grammatically correct: ",0,0,<b>no</b>
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: Mary listens to the Grateful Dead, she gets depressed.
Grammatically correct: ",1,0,<b>no</b>
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: The angrier Mary got, the more she looked at pictures.
Grammatically correct: ",1,0,<b>no</b>
"Sentence: Goes John to school?
Grammatically correct: no

Sentence: They alleged many strangers to have been in that garden.
Grammatically correct: no

Sentence: I loved the policeman the baker intensely with all my heart.
Grammatically correct: no

Sentence: Bill poorly recited his lines.
Grammatically correct: no

Sentence: Which temple did Athena contemplate the reason that her devotees had built?
Grammatically correct: no

Sentence: Gilgamesh must should seek Ishtar
Grammatically correct: no

Sentence: David constructed me a house.
Grammatically correct: no

Sentence: Mary talked to any man or any woman.
Grammatically correct: no

Sentence: Did you believe him to ever have made an effort to talk to the student?
Grammatically correct: yes

Sentence: The car collided with the fence.
Grammatically correct: yes

Sentence: The Minister has arrived.
Grammatically correct: yes

Sentence: Paula swatted Deirdre on the back.
Grammatically correct: yes

Sentence: Which otter you should adopt first is unclear.
Grammatically correct: yes

Sentence: I ate the apple.
Grammatically correct: yes

Sentence: You should leave, shouldn't you?
Grammatically correct: yes

Sentence: They dismissed the proposal as too costly.
Grammatically correct: yes

Sentence: The higher the stakes, the lower his expectations are.
Grammatically correct: ",1,0,<b>no</b>
