prompt,gt,pred,generated_text
"Sentence: I wonder what city that Romans destroyed.
Linguistically acceptable: no

Sentence: He seems enough intelligent for you.
Linguistically acceptable: no

Sentence: I would like for John to win.
Linguistically acceptable: yes

Sentence: Tony broke the window.
Linguistically acceptable: yes

Sentence: The sailors rode the breeze clear of the rocks.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: I have gone and buys some whiskey.
Linguistically acceptable: no

Sentence: Which table did you wonder on Kim put the book?
Linguistically acceptable: no

Sentence: a pencil with which to write broke.
Linguistically acceptable: yes

Sentence: It rains.
Linguistically acceptable: yes

Sentence: The weights made the rope stretch over the pulley.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: Any lion is generally majestic.
Linguistically acceptable: no

Sentence: They will do come.
Linguistically acceptable: no

Sentence: Lucy sent a letter to Jane.
Linguistically acceptable: yes

Sentence: Carmen bought a dress from Diana.
Linguistically acceptable: yes

Sentence: The mechanical doll wriggled itself loose.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: It is Ireland that he is going.
Linguistically acceptable: no

Sentence: Here's a razor for you to chop up these nuts with this cleaver and.
Linguistically acceptable: no

Sentence: In English, the main verb agrees with the head element of the subject.
Linguistically acceptable: yes

Sentence: Willy is taller than Bill by 7 millimeters.
Linguistically acceptable: yes

Sentence: If you had eaten more, you would want less.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: We elected my father, who had just turned 60, president.
Linguistically acceptable: no

Sentence: The president appointed press secretary to Smith.
Linguistically acceptable: no

Sentence: Horror films disturb Milo.
Linguistically acceptable: yes

Sentence: Moya's football team loved her
Linguistically acceptable: yes

Sentence: As you eat the most, you want the least.
Linguistically acceptable: ",0,0,<b>no</b>
"Sentence: Has that we have arrived back at our starting point proved that the world is round?
Linguistically acceptable: no

Sentence: The hardest that that it has snowed here is believed was last January 12th.
Linguistically acceptable: no

Sentence: My uncle visited today.
Linguistically acceptable: yes

Sentence: I took a snooze.
Linguistically acceptable: yes

Sentence: The more you would want, the less you would eat.
Linguistically acceptable: ",0,0,<strong>no</strong>
"Sentence: Mary claimed that eat cabbage, Holly made me.
Linguistically acceptable: no

Sentence: He are the only person that I can rely on.
Linguistically acceptable: no

Sentence: I gave Leah the box.
Linguistically acceptable: yes

Sentence: Jack may be and Tony certainly is a werewolf.
Linguistically acceptable: yes

Sentence: I demand that the more John eat, the more he pays.
Linguistically acceptable: ",0,0,<strong>no</strong>
"Sentence: Who does Phineas know a girl who is working with?
Linguistically acceptable: no

Sentence: John can kicked the ball.
Linguistically acceptable: no

Sentence: I'm sorry that anybody hates me.
Linguistically acceptable: yes

Sentence: That they have completed the course is amazing.
Linguistically acceptable: yes

Sentence: Mary listens to the Grateful Dead, she gets depressed.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: Him book
Linguistically acceptable: no

Sentence: There appeared the ship on the horizon.
Linguistically acceptable: no

Sentence: Any cat doesn't like mice.
Linguistically acceptable: yes

Sentence: Those Olympic hopefuls should practice diligently daily.
Linguistically acceptable: yes

Sentence: The angrier Mary got, the more she looked at pictures.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: Herself hit Heidi on the head with a zucchini.
Linguistically acceptable: no

Sentence: Before your, this girl in the red coat will put a picture of Bill on your desk before tomorrow.
Linguistically acceptable: no

Sentence: The potatoes baked.
Linguistically acceptable: yes

Sentence: We love them.
Linguistically acceptable: yes

Sentence: The higher the stakes, the lower his expectations are.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: Bill likes herself.
Linguistically acceptable: no

Sentence: The more food Mary knows a man that eats the poorer she gets.
Linguistically acceptable: no

Sentence: John is taller than that man is.
Linguistically acceptable: yes

Sentence: How quickly did the Greeks take Troy?
Linguistically acceptable: yes

Sentence: The more Fred is obnoxious, the less attention you should pay to him.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: John is eager to find.
Linguistically acceptable: no

Sentence: Harry coughed himself.
Linguistically acceptable: no

Sentence: Clean your desk before tomorrow.
Linguistically acceptable: yes

Sentence: Ryan hit Andrew.
Linguistically acceptable: yes

Sentence: John was lots more obnoxious than Fred.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: One of the story has appeared in your newspaper.
Linguistically acceptable: no

Sentence: Carrie touched at the cat.
Linguistically acceptable: no

Sentence: David ate mangoes and Raffi should too.
Linguistically acceptable: yes

Sentence: Tom locked Fido in the garage.
Linguistically acceptable: yes

Sentence: The more people you give beer to, the more people get sick.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: We proved conclusively to the authorities Smith to be the thief.
Linguistically acceptable: no

Sentence: The drunk and the lamppost hugged.
Linguistically acceptable: no

Sentence: Who bought that piano for his secret fiancée?
Linguistically acceptable: yes

Sentence: Steve pelted Anna.
Linguistically acceptable: yes

Sentence: The more does Bill smoke, the more Susan hates him.
Linguistically acceptable: ",0,0,<b>no</b>
"Sentence: Paula hit the sticks.
Linguistically acceptable: no

Sentence: This hat the gloves and were on the table.
Linguistically acceptable: no

Sentence: John talked to every woman who came up to him.
Linguistically acceptable: yes

Sentence: He seems intelligent enough for you.
Linguistically acceptable: yes

Sentence: The more pictures of him that appear in the news, the more embarrassed John becomes.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: What table will he put the chair between some table and?
Linguistically acceptable: no

Sentence: Truman visited yesterday you.
Linguistically acceptable: no

Sentence: John deposited some money in the bank.
Linguistically acceptable: yes

Sentence: The prisoner must have been being interrogated when the supervisor walked into the room and saw what was going on and put a stop to it.
Linguistically acceptable: yes

Sentence: Every senator seems to become more corrupt, as he talks to more lobbyists.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: I wonder who Bill saw and liked Mary.
Linguistically acceptable: no

Sentence: Which boy works in a skyscraper and the girl in a quonset hut?
Linguistically acceptable: no

Sentence: I saw him leaving the main building.
Linguistically acceptable: yes

Sentence: John liked anything that was placed before him.
Linguistically acceptable: yes

Sentence: Who does John visit Sally because he likes?
Linguistically acceptable: ",0,0,<strong>no</strong>
"Sentence: He washed ourselves.
Linguistically acceptable: no

Sentence: Her efficient looking of the answer up pleased the boss.
Linguistically acceptable: no

Sentence: You may pick any flower, but leave a few for Mary.
Linguistically acceptable: yes

Sentence: John intends to review the book.
Linguistically acceptable: yes

Sentence: Marianne did not leave.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: Mary wonders that John said if Bill left.
Linguistically acceptable: no

Sentence: The new tax Jaws will gain the middle class.
Linguistically acceptable: no

Sentence: Kim alienated cats and beats his dog.
Linguistically acceptable: yes

Sentence: You may pick any of the flowers.
Linguistically acceptable: yes

Sentence: He could not] have been working.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: I inquired could we leave early.
Linguistically acceptable: no

Sentence: the box contains little tool.
Linguistically acceptable: no

Sentence: John is taller than 6 feet.
Linguistically acceptable: yes

Sentence: He figured it out.
Linguistically acceptable: yes

Sentence: He can not have been working.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: Gilgamesh never has flown a dragon.
Linguistically acceptable: no

Sentence: I wonder if on which shelve John will put the book.
Linguistically acceptable: no

Sentence: The students all worked that summer.
Linguistically acceptable: yes

Sentence: Lydia eloped with Wickham yesterday.
Linguistically acceptable: yes

Sentence: You will believe Bob.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: The naughty child spanked.
Linguistically acceptable: no

Sentence: A pastor was executed, notwithstanding on many applications in favor of him.
Linguistically acceptable: no

Sentence: I broke the twig and the branch apart.
Linguistically acceptable: yes

Sentence: I admired him for his honesty.
Linguistically acceptable: yes

Sentence: John has not kissed Mary.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: Janet broke at the vase.
Linguistically acceptable: no

Sentence: John seems will win.
Linguistically acceptable: no

Sentence: The tourists will go to the park.
Linguistically acceptable: yes

Sentence: John promised Bill to leave.
Linguistically acceptable: yes

Sentence: I said that never in my life had I seen a place like Bangor.
Linguistically acceptable: ",1,0,<strong>no</strong>
"Sentence: Cynthia gobbled .
Linguistically acceptable: no

Sentence: John bought any picture of Queen Elizabeth.
Linguistically acceptable: no

Sentence: Mary claimed that eaten cabbage, Holly hasn't.
Linguistically acceptable: yes

Sentence: He attributed the fire to a short circuit.
Linguistically acceptable: yes

Sentence: Mickey looked up it.
Linguistically acceptable: ",0,0,<b>no</b>
"Sentence: I talked to Winston about him.
Linguistically acceptable: no

Sentence: They said nobody would pay up, but pay up I know a boy who did.
Linguistically acceptable: no

Sentence: John seemed to be a great linguist.
Linguistically acceptable: yes

Sentence: Two students speak each language.
Linguistically acceptable: yes

Sentence: There tended to be a lot of discussion.
Linguistically acceptable: ",1,0,<strong>no</strong>
